True,trizol_depth,ivt_depth,trizol_median,ivt_median,ks_stat,ks_pval,ks_effect_size,u_stat,u_pval,u_effect_size
1,,8514,,19.0,,,,,,
2,,8888,,16.0,,,,,,
3,,9032,,6.0,,,,,,
4,,10111,,11.0,,,,,,
5,,21374,,9.0,,,,,,
6,,23840,,17.0,,,,,,
7,1.0,32019,2.0,58.0,0.8817889378181705,0.1900673964222886,0.8818027074870084,1892.5,0.12629341416855094,0.05910553109091477
8,3.0,39654,13.0,29.0,0.5925001260906844,0.15206712723707058,0.3420930469830688,32916.5,0.1797999709501975,0.2766976009145778
9,7.0,41306,12.0,18.0,0.23268843682342927,0.7870691960070113,0.08795541421813044,124597.5,0.525725819450416,0.43092148494511345
10,20.0,44785,19.5,53.0,0.32831863347102824,0.020243311536266073,0.07343066904665065,250587.0,0.0006467668008713784,0.27976666294518254
11,54.0,47934,7.0,32.0,0.5017663175755553,1.169009031936666e-12,0.06832019766193484,557376.5,4.1137102920081663e-13,0.21533331324398208
12,106.0,48334,11.0,31.0,0.49202912750975714,3.099963044513286e-23,0.04784246842871894,1409326.0,1.1044709538950348e-15,0.2750761017479785
13,508.0,49488,6.0,25.0,0.5624543355455932,3.8581512456416673e-140,0.02508263110824264,4292579.0,2.2702901500244274e-144,0.17074762894878198
14,694.0,50439,14.0,26.0,0.27429966050811627,1.3675033701797558e-45,0.010483660245788,11173789.0,2.1450033291801837e-60,0.31920855922464736
15,784.0,51195,8.0,13.0,0.1082266982386274,2.370462929701587e-08,0.0038947229015003785,17405451.0,4.27894109269089e-11,0.4336523167720062
16,804.0,51225,15.0,18.0,0.09596206376608896,8.196845853759687e-07,0.003410776883194655,18548196.0,1.1172377103540389e-06,0.45036399262836624
17,826.0,51324,12.0,15.0,0.11989666181876785,1.1546446415397906e-10,0.004205174053974111,17738152.0,7.426657491051128e-16,0.41841556173635924
18,974.0,51495,6.0,6.0,0.08091635060360518,6.624201927607232e-06,0.0026171322634068375,22293331.5,5.126059594106765e-16,0.44447870080885427
19,1004.0,51580,24.0,31.0,0.13381873823048246,7.27705485803714e-16,0.0042641867362418606,21198373.5,6.386021185006636e-23,0.40934311416605773
20,1010.0,51619,56.5,69.0,0.12972936321896977,5.084289625313376e-15,0.0041217852910204545,21377125.5,1.0257606789052566e-22,0.41003256150020745
21,1011.0,51623,30.0,29.0,0.052499256910018305,0.008101206960965425,0.0016672055482656245,26736014.5,0.17943575140603607,0.5122739515293993
